Date,Open Price
15-Dec-00,7535
18-Dec-00,7106.35
19-Dec-00,7090
20-Dec-00,6795
21-Dec-00,6602
22-Dec-00,6294.8
26-Dec-00,5775
27-Dec-00,5536
28-Dec-00,5530
29-Dec-00,5520
1-Jan-01,5705
2-Jan-01,5601
3-Jan-01,5600
4-Jan-01,5630
5-Jan-01,6099
8-Jan-01,6312
9-Jan-01,5936
10-Jan-01,6000.1
11-Jan-01,5675
12-Jan-01,5560
15-Jan-01,5825
16-Jan-01,6189.9
17-Jan-01,6350
18-Jan-01,6325
19-Jan-01,6448
22-Jan-01,6795
23-Jan-01,6781.05
24-Jan-01,6790
25-Jan-01,6801.05
29-Jan-01,6751
30-Jan-01,6670
31-Jan-01,6852.35
1-Feb-01,6761
2-Feb-01,6726
5-Feb-01,6835
6-Feb-01,6652.25
7-Feb-01,6720
8-Feb-01,6455
9-Feb-01,6510
12-Feb-01,6402
13-Feb-01,6390
14-Feb-01,6335.5
15-Feb-01,6351.3
16-Feb-01,6523
19-Feb-01,6240
20-Feb-01,6305
21-Feb-01,6200
22-Feb-01,5890
23-Feb-01,5780
26-Feb-01,5640
27-Feb-01,5717
28-Feb-01,5625.2
1-Mar-01,6250
2-Mar-01,5750
5-Mar-01,4901.15
7-Mar-01,5008.7
8-Mar-01,5245
9-Mar-01,5040
12-Mar-01,4850
13-Mar-01,4351
14-Mar-01,4310
15-Mar-01,4620
16-Mar-01,4895
19-Mar-01,4632
20-Mar-01,4445.1
21-Mar-01,4280
22-Mar-01,4455
23-Mar-01,4310
26-Mar-01,4155
27-Mar-01,4284
28-Mar-01,4850
29-Mar-01,4657.7
30-Mar-01,4375
2-Apr-01,4062
3-Apr-01,4056
4-Apr-01,3950
6-Apr-01,3950
9-Apr-01,3950
10-Apr-01,4000
11-Apr-01,4015
12-Apr-01,2958.35
16-Apr-01,2825
17-Apr-01,3071.25
18-Apr-01,3087
19-Apr-01,3790
20-Apr-01,3875
23-Apr-01,3815
24-Apr-01,3655.55
25-Apr-01,3901
26-Apr-01,3844
27-Apr-01,3631
30-Apr-01,3280
2-May-01,3877
3-May-01,3901
4-May-01,3782.5
7-May-01,3850
8-May-01,3975
9-May-01,4002.25
10-May-01,3842.5
11-May-01,3810
14-May-01,3875.1
15-May-01,3876
16-May-01,3939
17-May-01,3800
18-May-01,3939
21-May-01,3970
22-May-01,3949
23-May-01,3969
24-May-01,4200.1
25-May-01,4170.2
28-May-01,4184.85
29-May-01,4299
30-May-01,4180
31-May-01,3750
1-Jun-01,3785
4-Jun-01,3780
5-Jun-01,3600
6-Jun-01,3995
7-Jun-01,3780
8-Jun-01,3899
11-Jun-01,3918
12-Jun-01,3791
13-Jun-01,3850
14-Jun-01,3811.65
15-Jun-01,3781
18-Jun-01,3380
19-Jun-01,3400
20-Jun-01,3450
21-Jun-01,3375
22-Jun-01,3416
25-Jun-01,3411
26-Jun-01,3310
27-Jun-01,3629
28-Jun-01,3532
29-Jun-01,3640
2-Jul-01,3810
3-Jul-01,3600
4-Jul-01,3224
5-Jul-01,3515
6-Jul-01,3436
9-Jul-01,3569
10-Jul-01,3595.3
11-Jul-01,3460
12-Jul-01,3815
13-Jul-01,3983
16-Jul-01,3711
17-Jul-01,3550
18-Jul-01,3688
19-Jul-01,3640
20-Jul-01,3730
23-Jul-01,3698
24-Jul-01,3605
25-Jul-01,3669
26-Jul-01,3674
27-Jul-01,3642.35
30-Jul-01,3642.2
31-Jul-01,3652.15
1-Aug-01,3775
2-Aug-01,3690
3-Aug-01,3780
6-Aug-01,3865
7-Aug-01,3752
8-Aug-01,3725
9-Aug-01,3611.15
10-Aug-01,3675
13-Aug-01,3675
14-Aug-01,3630
16-Aug-01,3740
17-Aug-01,3753
20-Aug-01,3400
21-Aug-01,3690
23-Aug-01,3738
24-Aug-01,3751.1
27-Aug-01,3600.25
28-Aug-01,3850
29-Aug-01,3882.3
30-Aug-01,3790
31-Aug-01,3690
3-Sep-01,3560
4-Sep-01,3399
5-Sep-01,3390
6-Sep-01,3350
7-Sep-01,3280
10-Sep-01,3333
11-Sep-01,3495
12-Sep-01,3255.1
13-Sep-01,3175
14-Sep-01,3140
17-Sep-01,2879
18-Sep-01,2550
19-Sep-01,2639
20-Sep-01,2499
21-Sep-01,2320.2
24-Sep-01,2175
25-Sep-01,2500
26-Sep-01,2461
27-Sep-01,2530
28-Sep-01,2445
1-Oct-01,2399
3-Oct-01,2400
4-Oct-01,2262.35
5-Oct-01,2370
8-Oct-01,2375
9-Oct-01,2402
10-Oct-01,2540
11-Oct-01,2600
12-Oct-01,2900
15-Oct-01,3081
16-Oct-01,2900
17-Oct-01,3000
18-Oct-01,2921
19-Oct-01,2875.35
22-Oct-01,3094
23-Oct-01,3042.2
24-Oct-01,3000
25-Oct-01,3050
29-Oct-01,3030
30-Oct-01,2963.7
31-Oct-01,2930
1-Nov-01,2915.35
2-Nov-01,2980
5-Nov-01,2811.35
6-Nov-01,2891
7-Nov-01,2992.4
8-Nov-01,2862
9-Nov-01,2924
12-Nov-01,2949
13-Nov-01,2980
14-Nov-01,2950
15-Nov-01,2965.05
19-Nov-01,3315
20-Nov-01,3630
21-Nov-01,3551.55
22-Nov-01,3512
23-Nov-01,3488
26-Nov-01,3650
27-Nov-01,4189.6
28-Nov-01,3740
29-Nov-01,3742.2
3-Dec-01,3732.35
4-Dec-01,3824
5-Dec-01,4148
6-Dec-01,4398
7-Dec-01,4500
10-Dec-01,4551
11-Dec-01,4280
12-Dec-01,4248
13-Dec-01,4459
14-Dec-01,4126
18-Dec-01,4249
19-Dec-01,4196.45
20-Dec-01,3961
21-Dec-01,4049
24-Dec-01,3975
26-Dec-01,4074
27-Dec-01,3890
28-Dec-01,3905.25
31-Dec-01,4040
1-Jan-02,4097
2-Jan-02,4031.3
3-Jan-02,4139
4-Jan-02,4380.2
7-Jan-02,4588
8-Jan-02,4750
9-Jan-02,4874
10-Jan-02,4275
11-Jan-02,4050
14-Jan-02,4099
15-Jan-02,3994
16-Jan-02,3920
17-Jan-02,3725.25
18-Jan-02,4195
21-Jan-02,3974
22-Jan-02,3926
23-Jan-02,3955.3
24-Jan-02,3989
25-Jan-02,3898
28-Jan-02,3974
29-Jan-02,3791.25
30-Jan-02,3750
31-Jan-02,3750
1-Feb-02,3951.2
4-Feb-02,3815.05
5-Feb-02,3666
6-Feb-02,3756
7-Feb-02,3950
8-Feb-02,3670
11-Feb-02,3800
12-Feb-02,3771
13-Feb-02,3790
14-Feb-02,3868
15-Feb-02,3850
18-Feb-02,3818
19-Feb-02,3750.25
20-Feb-02,3630
21-Feb-02,3719
22-Feb-02,3629
25-Feb-02,3699
26-Feb-02,3765.15
27-Feb-02,3860
28-Feb-02,3830
1-Mar-02,3510
4-Mar-02,3700
5-Mar-02,3725
6-Mar-02,3851.25
7-Mar-02,3960.1
8-Mar-02,4180
11-Mar-02,4225
12-Mar-02,4200
13-Mar-02,4139.9
14-Mar-02,4000
15-Mar-02,4040
18-Mar-02,4077.7
19-Mar-02,3991
20-Mar-02,3955
21-Mar-02,3889
22-Mar-02,3893
26-Mar-02,3830
27-Mar-02,4000
28-Mar-02,3690.1
1-Apr-02,3784
2-Apr-02,3567.7
3-Apr-02,3520
4-Apr-02,3512.25
5-Apr-02,3674
8-Apr-02,3649
9-Apr-02,3608
10-Apr-02,3620
11-Apr-02,3826
12-Apr-02,3837.7
15-Apr-02,3900
16-Apr-02,3799
17-Apr-02,3860.15
18-Apr-02,3960
19-Apr-02,3950
22-Apr-02,3860
23-Apr-02,3640
24-Apr-02,3895
25-Apr-02,3868.8
26-Apr-02,3805
29-Apr-02,3790
30-Apr-02,3640
2-May-02,3720
3-May-02,3719.7
6-May-02,3755
7-May-02,3694
8-May-02,3751.2
9-May-02,3906
10-May-02,3805
13-May-02,3805
14-May-02,3872
15-May-02,3850
16-May-02,3882
17-May-02,3810
20-May-02,3750
21-May-02,3626.2
22-May-02,3580
23-May-02,3650
24-May-02,3715.25
27-May-02,3771
28-May-02,3669
29-May-02,3511.9
30-May-02,3515
31-May-02,3520
3-Jun-02,3419
4-Jun-02,3285
5-Jun-02,3348.8
6-Jun-02,3457.2
7-Jun-02,3350
10-Jun-02,3301
11-Jun-02,3450
12-Jun-02,3535
13-Jun-02,3511.2
14-Jun-02,3450
17-Jun-02,3405.1
18-Jun-02,3420
19-Jun-02,3269
20-Jun-02,3125
21-Jun-02,3234.4
24-Jun-02,3118
25-Jun-02,3211.2
26-Jun-02,3140
27-Jun-02,3085
28-Jun-02,3211.1
1-Jul-02,3300
2-Jul-02,3268.35
3-Jul-02,3260.1
4-Jul-02,3413.3
5-Jul-02,3370
8-Jul-02,3453.3
9-Jul-02,3425
10-Jul-02,3450.3
11-Jul-02,3298.7
12-Jul-02,3326.35
15-Jul-02,3295
16-Jul-02,3230
17-Jul-02,3158
18-Jul-02,3236
19-Jul-02,3170
22-Jul-02,3120
23-Jul-02,3062.35
24-Jul-02,3150
25-Jul-02,3150
26-Jul-02,3029.8
29-Jul-02,3048.7
30-Jul-02,3070
31-Jul-02,2992.3
1-Aug-02,3060
2-Aug-02,3015
5-Aug-02,3030
6-Aug-02,3040
7-Aug-02,3190
8-Aug-02,3130
9-Aug-02,3139.9
12-Aug-02,3165
13-Aug-02,3215.5
14-Aug-02,3199.7
16-Aug-02,3191.3
19-Aug-02,3225.05
20-Aug-02,3252.1
21-Aug-02,3300.05
22-Aug-02,3410.35
23-Aug-02,3385.25
26-Aug-02,3399
27-Aug-02,3480.35
28-Aug-02,3400
29-Aug-02,3404
30-Aug-02,3497
2-Sep-02,3645.3
3-Sep-02,3558.8
4-Sep-02,3448.8
5-Sep-02,3500.35
6-Sep-02,3542
9-Sep-02,3547.8
11-Sep-02,3625
12-Sep-02,3669.9
13-Sep-02,3608
16-Sep-02,3560.2
17-Sep-02,3582.35
18-Sep-02,3631.3
19-Sep-02,3565
20-Sep-02,3400
23-Sep-02,3510
24-Sep-02,3424.95
25-Sep-02,3330
26-Sep-02,3498
27-Sep-02,3487.15
30-Sep-02,3471.9
1-Oct-02,3388
3-Oct-02,3420
4-Oct-02,3465.25
7-Oct-02,3485
8-Oct-02,3435
9-Oct-02,3576.55
10-Oct-02,3501.1
11-Oct-02,3632.2
14-Oct-02,3780.3
16-Oct-02,3890
17-Oct-02,3742.2
18-Oct-02,3870
21-Oct-02,3845.35
22-Oct-02,3848
23-Oct-02,3781.35
24-Oct-02,3828.8
25-Oct-02,3772.85
28-Oct-02,3760.25
29-Oct-02,3724.9
30-Oct-02,3775
31-Oct-02,3800
1-Nov-02,3800
4-Nov-02,3895
5-Nov-02,3965
7-Nov-02,4018.7
8-Nov-02,3999
11-Nov-02,3986
12-Nov-02,3900
13-Nov-02,3945.5
14-Nov-02,3982.3
15-Nov-02,4171.3
18-Nov-02,4300
20-Nov-02,4229.7
21-Nov-02,4500
22-Nov-02,4597.7
25-Nov-02,4597.7
26-Nov-02,4541
27-Nov-02,4510
28-Nov-02,4529
29-Nov-02,4564
2-Dec-02,4584
3-Dec-02,4620
4-Dec-02,4525
5-Dec-02,4414.45
6-Dec-02,4450
9-Dec-02,4650
10-Dec-02,4521
11-Dec-02,4560.45
12-Dec-02,4715.55
13-Dec-02,4825
16-Dec-02,4715
17-Dec-02,4639
18-Dec-02,4555
19-Dec-02,4594.8
20-Dec-02,4600.5
23-Dec-02,4620.2
24-Dec-02,4600
26-Dec-02,4711.9
27-Dec-02,4755.55
30-Dec-02,4735
31-Dec-02,4736
1-Jan-03,4780
2-Jan-03,4834
3-Jan-03,4790
6-Jan-03,4833
7-Jan-03,4843.4
8-Jan-03,4782
9-Jan-03,4800
