"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFOSYSTCH","EQ","12-May-2000","       7060.95","       7150.00","       7300.00","       6752.50","       6868.00","       6860.90","       7002.57","     502746","          3520515615.15","-","-","-"
"INFOSYSTCH","EQ","15-May-2000","       6860.90","       6805.00","       7190.00","       6051.10","       6945.00","       6939.30","       6670.17","     675941","          4508644073.30","-","-","-"
"INFOSYSTCH","EQ","16-May-2000","       6939.30","       6999.00","       7100.00","       6720.00","       6899.00","       6863.90","       6868.93","     470408","          3231198138.80","-","-","-"
"INFOSYSTCH","EQ","17-May-2000","       6863.90","       7166.60","       7413.05","       6881.00","       6980.00","       6962.85","       7223.02","     389893","          2816204127.20","-","-","-"
"INFOSYSTCH","EQ","18-May-2000","       6962.85","       6950.00","       6995.00","       6752.00","       6947.90","       6897.85","       6870.55","     255152","          1753034104.00","-","-","-"
"INFOSYSTCH","EQ","19-May-2000","       6897.85","       6900.15","       6900.15","       6301.70","       6470.10","       6456.35","       6549.66","     559208","          3662620401.15","-","-","-"
"INFOSYSTCH","EQ","22-May-2000","       6456.35","       6258.00","       6258.00","       5831.00","       5900.00","       5939.00","       6047.62","     432449","          2615289269.75","-","-","-"
"INFOSYSTCH","EQ","23-May-2000","       5939.00","       5800.05","       6168.80","       5525.05","       6150.00","       6016.35","       5830.69","     537884","          3136233544.40","-","-","-"
"INFOSYSTCH","EQ","24-May-2000","       6016.35","       5901.00","       6135.00","       5700.00","       6028.00","       6047.30","       5972.56","     607288","          3627064836.40","-","-","-"
"INFOSYSTCH","EQ","25-May-2000","       6047.30","       6090.00","       6318.00","       6000.00","       6040.00","       6039.15","       6159.36","     535245","          3296767881.80","-","-","-"
"INFOSYSTCH","EQ","26-May-2000","       6039.15","       6085.00","       6138.00","       5825.00","       5981.00","       5978.35","       5967.32","     565914","          3376991691.85","-","-","-"
"INFOSYSTCH","EQ","29-May-2000","       5978.35","       5912.00","       5960.00","       5580.10","       5862.00","       5891.35","       5793.09","     416259","          2411426861.05","-","-","-"
"INFOSYSTCH","EQ","30-May-2000","       5891.35","       5925.00","       6330.00","       5852.25","       6280.00","       6266.95","       6100.41","     410595","          2504797347.00","-","-","-"
"INFOSYSTCH","EQ","31-May-2000","       6266.95","       6679.00","       7019.00","       6679.00","       7009.00","       6998.75","       6944.86","     342128","          2376032314.80","-","-","-"
"INFOSYSTCH","EQ","01-Jun-2000","       6998.75","       6950.00","       7122.35","       6833.00","       6960.00","       6993.65","       6999.48","     419598","          2936968588.50","-","-","-"
"INFOSYSTCH","EQ","02-Jun-2000","       6993.65","       7040.00","       7690.00","       7040.00","       7492.00","       7534.20","       7406.19","     611577","          4529458304.10","-","-","-"
"INFOSYSTCH","EQ","05-Jun-2000","       7534.20","       7600.00","       8438.30","       7600.00","       7980.00","       8001.95","       8202.33","     435873","          3575174365.10","-","-","-"
"INFOSYSTCH","EQ","06-Jun-2000","       8001.95","       8052.00","       8170.00","       7800.00","       7940.00","       7971.65","       7970.31","     451479","          3598426859.55","-","-","-"
"INFOSYSTCH","EQ","07-Jun-2000","       7971.65","       7850.00","       8066.00","       7700.00","       7750.00","       7836.60","       7863.91","     446080","          3507931830.65","-","-","-"
"INFOSYSTCH","EQ","08-Jun-2000","       7836.60","       7845.00","       7999.00","       7800.00","       7902.00","       7906.90","       7904.67","     316289","          2500159480.20","-","-","-"
"INFOSYSTCH","EQ","09-Jun-2000","       7906.90","       7949.90","       8179.85","       7870.00","       7875.00","       7935.05","       8044.64","     502416","          4041754984.50","-","-","-"
"INFOSYSTCH","EQ","12-Jun-2000","       7935.05","       7825.00","       7978.00","       7721.00","       7745.00","       7764.20","       7810.14","     227838","          1779447341.90","-","-","-"
"INFOSYSTCH","EQ","13-Jun-2000","       7764.20","       7701.15","       7845.00","       7451.00","       7810.00","       7770.45","       7613.83","     303756","          2312745912.55","-","-","-"
"INFOSYSTCH","EQ","14-Jun-2000","       7770.45","       7689.00","       7949.00","       7689.00","       7840.00","       7813.10","       7849.53","     246938","          1938347287.55","-","-","-"
"INFOSYSTCH","EQ","15-Jun-2000","       7813.10","       7802.00","       8399.00","       7752.00","       8290.00","       8282.35","       8150.11","     746577","          6084682859.25","-","-","-"
"INFOSYSTCH","EQ","16-Jun-2000","       8282.35","       8201.00","       8490.00","       8149.00","       8421.00","       8390.65","       8362.19","     500137","          4182241616.60","-","-","-"
